Form ID,Lobbyist/Registrant,Organization/Firm,Employer,Event Date,Total Cost,Groups Invited,Sponsors
E001619,League of Women Voters of Howard County,"Mettle, Laura D",League of Women Voters of Howard County,01/10/02,524.0,Howard County Delegation,League of Women Voters of Howard County
E001515,"Levine, Brian ",Montgomery County Chamber of Commerce,Montgomery County Chamber of Commerce,11/12/25,111028.97,Montgomery County Delegation,Montgomery County Chamber of Commerce
E001641,"Lininger, Brett Stewart",Kress Hammen Government Affairs,National Association of Insurance and Financial Advisors of Maryland (NAIFA-MD),01/29/26,2348.12,Senate Budget and Taxation Committee; Senate Finance Committee,National Association of Insurance and Financial Advisors of Maryland (NAIFA-MD); Independent Insurance Agents of Maryland (BigIMD)
E001809,"Lucchi, Leonard L.","O'Malley, Miles, Nylen & Gilmore, P.A.","Maryland Citizens' Health Initiative, Inc.",04/15/26,1500.0,General Assembly,"Maryland Citizens' Health Initiative, Inc."
E001706,"Lucchi, Leonard L.","O'Malley, Miles, Nylen & Gilmore, P.A.",Service Workers' Center,02/11/26,150.0,General Assembly,Service Workers' Center
E001620,"Lucchi, Leonard L.","O'Malley, Miles, Nylen & Gilmore, P.A.",Service Workers' Center,01/20/26,353.96,General Assembly,Service Workers' Center
E001613,"Majchrzak, Tyler ",Chesapeake Utilities Corporation ,Chesapeake Utilities Corporation,01/20/26,2312.59,"Senate Education, Energy, and the Environment Committee (formerly Senate Education Health and Environmental Affairs Committee)",Chesapeake Utilities Corporation; Columbia Gas of Maryland
E001764,"Manis, Nicholas G",Manis Canning & Associates,"Maryland Beer Wholesalers Association, Inc.",03/25/26,1442.54,"House Economic Matters Committee; House Government, Labor, and Elections (formerly House Health and Government Operations Committee)","Maryland Beer Wholesalers Association, Inc.; Maryland State Licensed Beverage Association"
E001687,"Manis, Nicholas G",Manis Canning & Associates,"National Association of Industrial and Office Properties, Maryland",02/04/26,6495.07,Senate Budget and Taxation Committee,"National Association of Industrial and Office Properties, Maryland"
E001730,"Mansfield, Andrea ",Manis Canning & Associates,Maryland Humanities,03/10/26,8938.02,General Assembly,Maryland Humanities; Maryland Center for History and Culture; Maryland Heritage Areas Coalition; Maryland Museum Association; MD250; Banneker-Douglas-Tubman Museum (In-Kind Contribution)
E001763,"Mansfield, Andrea ",Manis Canning & Associates,Maryland National Capital Park and Planning Commission,03/05/26,6912.5,Montgomery County Delegation; Prince George 's County Delegation,Maryland National Capital Park and Planning Commission
E001678,"Mansfield, Andrea ",Manis Canning & Associates,Maryland National Capital Park and Planning Commission,02/17/26,1549.4,Prince George 's County Delegation,Maryland National Capital Park and Planning Commission
E001605,"Mansfield, Andrea ",Manis Canning & Associates,Maryland Alliance of Boys & Girls Clubs,01/28/26,8985.95,General Assembly,Maryland Alliance of Boys & Girls Clubs
E001604,"Mansfield, Andrea ",Manis Canning & Associates,Maryland Alliance for College Affordability and Equity,01/22/26,4260.85,General Assembly,Maryland Alliance for College Affordability and Equity
E001695,"Martin, G Dan ",Mental Health Association of Maryland,Mental Health Association of Maryland,02/16/26,103605.73,General Assembly,Mental Health Association of Maryland
E001762,Maryland Aerospace Alliance,"Brophy, Georgeann ",Maryland Aerospace Alliance,02/25/26,167.1,General Assembly,Maryland Aerospace Alliance
E001761,Maryland Aerospace Alliance,"Brophy, Georgeann ",Maryland Aerospace Alliance,02/25/26,13246.21,General Assembly,Maryland Aerospace Alliance; ERT; Vertex Aerospace; Intuitive Machines; AMA; Rocket Lab; AAEDC; MD Department Of Commerce; SSAI; St Mary's County EDC; UMD UROC; JHU APL
E001771,"Mason, Michael ",Providence Strategies LLC,Maryland Destination Marketing Organizations,03/04/26,468.0,House of Delegates; Senate,Maryland Destination Marketing Organizations
E001722,"Mason, Michael ",Providence Strategies LLC,Maryland Association of Soil Conservation Districts,02/10/26,2500.0,House of Delegates; Senate,Maryland Association of Soil Conservation Districts
E001597,"Mason, Michael ",Providence Strategies LLC,Kaiser Permanente,01/15/26,3085.42,House Health and Government Operations Committee; Senate Finance Committee,Kaiser Permanente
E001618,"McHenry, Jenell ","Maryland Agriculture Council, Inc.","Maryland Agriculture Council, Inc.",02/05/26,56088.8,General Assembly,"Maryland Agriculture Council, Inc."
E001657,"Mehu, Natasha ",Maryland Hospital Association,Maryland Hospital Association,01/21/26,5576.19,General Assembly,Maryland Hospital Association
E001790,"Mettle, Kathleen ",Advanced Energy United,Advanced Energy United,02/24/26,9008.29,General Assembly,Advanced Energy United
E001563,"Middleton, Grayson S",Delmarva Chicken Association,Delmarva Chicken Association,03/03/26,2198.5,"Senate Education, Energy, and the Environment Committee (formerly Senate Education Health and Environmental Affairs Committee)",Delmarva Chicken Association; Horizon Farm Credit
E001562,"Middleton, Grayson S",Delmarva Chicken Association,Delmarva Chicken Association,01/28/26,14125.3,General Assembly; House of Delegates; Senate,Delmarva Chicken Association; Farm Credit
E001561,"Middleton, Grayson S",Delmarva Chicken Association,Delmarva Chicken Association,01/22/26,3335.37,House Environment and Transportation Committee,Delmarva Chicken Association; Farm Credit
E001582,"Miles, William R",William Miles,"Association of Forest Industries, Inc.",01/22/26,9792.46,General Assembly,"Association of Forest Industries, Inc.; Hunters of Maryland, LLC ; Paul Jones Lumber"
E001532,"Miller, Deborah ",JCRC of Greater Washington,Jewish Community Relations Council of Greater Washington,12/03/25,36691.0,Montgomery County Delegation,Jewish Community Relations Council of Greater Washington
E001527,"Mingo, Dwayne B","Prince George's County Assn. of Realtors, Inc.","Prince George's County Association of Realtors, Inc.",12/03/25,7236.23,Prince George 's County Delegation,"Prince George's County Association of Realtors, Inc.; Ameris Bank Mortgage Services; Atlantic Union Bank; Brennan Title Company; Capital Area REALTORS Federal Credit Union; FitzGerald Financial Group; Mortgage Experts; Prosperity Home Mortgage; United Bank; Meridian Bank Mortgage; Northpointe Bank; WesBanco; AWO Real Estate Title ; Bright MLS; First Home Mortgage The Paquin Team; Interstate Moving and Storage; The Law Office of Midgett S. Parker; M&T Bank; Red Carpet Home Inspections; TitleMax; Village Settlements ; Wells Fargo Home Mortgage"
E001698,"Mitchell, Elinor ",Maryland Out of School Time Network,"Maryland Out of School Time Network, care of the Fund for Educational Excellence",02/11/26,1350.0,General Assembly,"Maryland Out of School Time Network, care of the Fund for Educational Excellence; Baltimore's Promise"
E001746,"Morrow, Elizabeth ",Maryland Family Network,Maryland Family Network,02/24/26,7899.61,General Assembly,Maryland Family Network
E001738,"Muckle, Lonia ",CASH Campaign of Maryland,CASH Campaign of Maryland,03/02/26,7268.0,General Assembly,CASH Campaign of Maryland; SECU Credit Union; Maryland Council on Economic Education
E001558,"Murray, Rory ",Providence Strategies,MD & DC Credit Union Association,02/03/26,8167.46,General Assembly,MD & DC Credit Union Association
